timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8,moving,characteristic_num
1624715051.9254699,3,34,-14,-16,3,-5,-10,-1,,0
1624715051.9254699,1,13,22,16,-5,-1,4,18,,0
1624715051.9264278,-26,-1,-20,-16,-6,-3,-7,0,,1
1624715051.9264278,4,-2,-10,1,0,10,23,17,,1
1624715051.9273589,-2,-15,2,-9,-2,-3,27,6,,2
1624715051.9273589,-2,-19,-48,-5,0,-3,-10,-1,,2
1624715051.928117,3,4,-5,-6,-3,0,-17,-4,,3
1624715051.928117,-7,-6,2,4,-1,1,-8,-3,,3
1624715051.9303648,2,28,-10,-11,-4,6,3,8,,1
1624715051.9303648,0,-10,-44,33,-7,-5,-11,-9,,1
1624715051.938585,2,-19,29,14,4,6,25,8,,2
1624715051.938585,-48,-9,-13,-13,-2,-10,-25,-6,,2
1624715051.945151,-3,4,-11,-1,-6,1,-2,0,,3
1624715051.945151,-5,-10,-45,-11,3,-1,19,-1,,3
1624715051.9532108,-3,10,-10,-6,-3,0,25,-1,,0
1624715051.9532108,-1,-4,20,3,2,-6,-27,-5,,0
1624715051.978658,7,11,-8,4,-1,6,-2,9,,1
1624715051.978658,-2,3,10,-3,-2,-5,-7,-10,,1
1624715051.9803221,-1,5,-13,-18,-2,-2,-6,-4,,2
1624715051.9803221,-1,6,12,-15,0,-7,-13,-9,,2
1624715051.990991,-4,3,20,2,-8,2,12,8,,3
1624715051.990991,4,-17,-85,-33,-2,-5,6,10,,3
1624715051.998861,5,2,51,49,-2,-3,7,-1,,0
1624715051.998861,6,-2,-86,-15,4,-5,-18,-5,,0
1624715052.014289,-5,9,61,-7,-3,7,-5,-5,,1
1624715052.014289,-11,-4,-5,-16,-3,-10,21,-13,,1
1624715052.015564,18,-8,-7,0,-4,2,-16,22,,2
1624715052.015564,-27,0,-26,25,4,1,7,-1,,2
1624715052.037293,-5,-2,22,-33,-1,-2,-4,-7,,3
1624715052.037293,5,4,12,-3,3,-7,-10,-9,,3
1624715052.0388749,-4,-9,3,33,4,-5,-6,-5,,0
1624715052.0388749,-4,-7,-34,-8,-6,-6,-2,-4,,0
1624715052.050716,4,6,71,6,0,2,-15,4,,1
1624715052.050716,-7,-1,3,-10,8,0,18,0,,1
1624715052.0590699,-2,-10,-7,-23,-6,-3,3,0,,2
1624715052.0590699,2,-45,-24,-23,-10,-3,-8,-3,,2
1624715052.074805,0,4,40,62,4,3,11,-2,,3
1624715052.074805,-6,111,-9,-14,-2,-1,-22,-3,,3
1624715052.076384,14,9,-5,-3,0,4,-1,39,,0
1624715052.076384,-8,13,-12,-21,-2,5,12,-2,,0
1624715052.0977302,-8,0,26,-7,-12,1,-5,-2,,1
1624715052.0977302,2,26,53,-8,7,2,8,4,,1
1624715052.099327,18,15,6,-19,10,-1,0,0,,2
1624715052.099327,-1,-6,-11,-28,-6,3,11,1,,2
1624715052.111007,46,12,-2,-42,-13,1,-6,8,,3
1624715052.111007,1,-3,13,24,4,2,-4,0,,3
1624715052.1182988,-3,-9,-20,-7,-2,-2,16,3,,0
1624715052.1182988,1,-6,27,0,-1,-5,-24,-12,,0
1624715052.1345139,-4,0,2,-2,-2,4,6,6,,1
1624715052.1345139,-1,-6,-12,-23,-5,-2,-32,-13,,1
1624715052.1358452,7,18,34,8,-2,8,50,33,,2
1624715052.1358452,2,13,-22,12,1,-1,1,-2,,2
1624715052.155992,0,-7,10,-7,-7,-12,-7,-9,,3
